959,10,765
960,8,613
961,4,309
962,12,917
963,7,537
964,0,20
965,23,1753
966,6,461
967,7,537
968,7,537
969,0,23
970,0,5
971,7,537
972,1,81
973,0,-64
974,2,157
975,8,613
976,3,250
977,0,-58
978,2,157
979,6,461
980,2,157
981,8,613
982,5,385
983,1,81
984,5,385
985,10,765
986,0,-38
987,6,461
988,1,86
989,6,478
990,0,5
991,12,919
992,1,99
993,1,81
994,2,157
995,4,309
996,2,157
997,17,1297
998,3,233
999,6,461
1000,2,157
1001,1,81
1002,4,309
1003,6,461
1004,7,537
1005,2,157
1006,12,917
1007,2,157
1008,10,781
1009,5,388
1010,5,385
1011,3,233
1012,3,233
1013,0,-60
1014,5,385
1015,1,81
1016,4,309
1017,4,309
1018,2,175
1019,1,95
1020,9,689
1021,9,689
1022,3,233
1023,2,159
1024,1,81
1025,6,461
1026,7,536
1027,4,295
1028,1,81
1029,1,89
1030,5,385
1031,9,689
1032,15,1145
1033,1,81
1034,1,81
1035,4,309
1036,7,537
1037,3,233
1038,0,5
1039,0,22
1040,3,224
1041,1,81
1042,7,537
1043,10,765
1044,9,689
1045,3,233
1046,8,613
1047,3,233
1048,5,385
1049,7,553
1050,9,689
1051,6,461
1052,9,689
1053,3,250
1054,11,841
1055,1,81
1056,5,385
1057,3,233
1058,0,22
1059,1,81
1060,2,157
1061,4,328
1062,12,917
1063,10,765
1064,7,537
1065,4,309
1066,8,613
1067,4,309
1068,2,157
1069,1,81
1070,13,993
1071,10,765
1072,0,5
1073,3,233
1074,4,309
1075,1,81
1076,4,309
1077,7,537
1078,2,157
1079,3,251
1080,1,81
1081,18,1373
1082,17,1297
1083,8,613
1084,0,-64
1085,0,-64
1086,6,461
1087,15,1145
1088,3,233
1089,4,311
1090,2,157
1091,6,461
1092,3,233
1093,1,81
1094,0,22
1095,0,-57
1096,12,917
1097,3,233
1098,2,157
1099,3,233
1100,8,613
1101,7,537
1102,1,81
1103,7,537
1104,7,537
1105,5,385
1106,12,917
1107,5,385
1108,6,461
1109,3,233
1110,7,537
1111,0,-49
1112,5,385
1113,2,157
1114,1,81
1115,4,309
1116,1,81
1117,1,98
1118,7,537
1119,3,233
1120,10,765
1121,23,1753
1122,0,-64
1123,2,157
1124,1,81
1125,0,-52
1126,9,689
1127,5,391
1128,0,5
1129,10,765
1130,0,-64
1131,10,759
1132,2,157
1133,15,1145
1134,2,157
1135,0,-32
1136,1,81
1137,0,23
1138,7,554
1139,4,309
1140,7,537
1141,1,81
1142,3,233
1143,4,309
1144,2,157
1145,2,157
1146,2,157
1147,0,-49
1148,2,157
